professor_name,school_name,department_name,local_name,state_name,year_since_first_review,star_rating,take_again,diff_index,tag_professor,num_student,post_date,name_onlines,student_star,student_difficult,attence,for_credits,would_take_agains,grades,stu_tags,help_useful,help_not_useful,comments
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,12/16/2017,TSEM102,2.0,3.0,Mandatory,Yes,No,A,TOUGH GRADER,0,0,"There are much easier, less time consuming TSEMs! There is a final, research paper, and presentation. There are online quizzes but the answers are on quizlet. There are wellness activities you have to find outside of class that benefit your well-being. She is a hard grader, classes were pointless, but she is approachable and willing to help you."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,11/17/2017,TSEM102,1.0,3.0,Mandatory,Yes,No,Not,SKIP CLASS? YOU WON\'T PASS.,0,0,"Honestly, worst class i\'ve ever taken. It\'s not at all interesting. All TSEM\'s have to do a 15 page research paper at the end of the semester but this class requires all students to present the information found. She also makes you take a final exam which most TSEM\'s don\'t do. All the quizzes are on quizlet so dont buy the book."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,11/14/2017,TSEM102,3.0,5.0,Not Mandatory,Yes,No,N/A,PARTICIPATION MATTERS,0,0,"Greenbaum was honestly the worst professor I had. She was a very sweet lady and very approachable but her lectures were long and boring, especially for an 8am class. Save your coins and don\'t buy the book. All her quiz questions are on Quizlet. She would also grade unnecessarily hard and completely give you a 0 if the assignment isn\'t done her way"
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,11/13/2017,TSEM102,5.0,1.0,Not Mandatory,Yes,Yes,N/A,GIVES GOOD FEEDBACK,0,1,"Very easy kind of pointless class. Easy grader, very understanding. Not hard work at all. All quizzes could be found on quizlet. Very easy class."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,11/11/2017,TSEM102,5.0,1.0,Mandatory,Yes,Yes,N/A,CARING  GIVES GOOD FEEDBACK  SO MANY PAPERS,0,1,"Class is very chill, a lot of the time we have speakers and what we do in class has nothing to do with the assignments. Super nice lady. Class is an easy A. Highly recommend"
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,04/23/2017,TSEM102,3.0,2.0,Not Mandatory,Yes,No,A,TOUGH GRADER,1,0,"This class was an easy A for me but apparently not for others. I took this first semester and didn\'t have any issues with her, although the class was pretty boring. Theres a 10 page research paper and little assignments that lead up to it. The final is based on the online quizzes which you can find on quizlet. She\'s ok."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,04/05/2016,TSEM102,2.0,2.0,Mandatory,Yes,N/A,A-,SO MANY PAPERS  LOTS OF HOMEWORK,3,0,"Extremely dull lectures, class is boring and not at useful as it seems like it should be. Assignments were easy, online quizzes every week, if you skip class too many times you\'ll get points taken off your grade. The final paper is long and the questions on the final test are unclear. Would not recommend."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,06/28/2015,TSEM102,2.5,4.0,N/A,Yes,N/A,B,LOTS OF HOMEWORK  TOUGH GRADER,0,0,"Hated her class. She is not very easy to work with nor is she understanding. I would miss some of her lecture cause my calc class was in YR and her\'s in West Village and she had no mercy in understanding that I would miss some important class time. Hard grader. Honestly, pray you get a B. Need text book for weekly online quizzes which are easy."
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,03/25/2015,HLTH101,1.0,3.0,Mandatory,Yes,N/A,B+,,0,0,She is an easy teacher but if she gets the chance she will screw you over We had a research paper and she gave me a C and couldn\'t give me a clear answer as to why even though I gave her an outline ahead of time and she said it was fine She even wrote on my paper that it was great and well written I ended up with an 89.69 and she didn\'t round up
Ann  Greenbaum,Towson University,Kinesiology department, Towson, MD,6,2.4,33%,2.8,Tough Grader (3)  LOTS OF HOMEWORK (2)  SO MANY PAPERS (2)  Gives good feedback (2)  Skip class? You won\'t pass. (1)  Participation matters (1)  Caring (1),28,12/23/2014,TSEM102,1.0,4.0,Not Mandatory,Yes,N/A,C-,,0,0,Assigns work without explanation Grades were harsh and given without explanation Have heard every other TSEM class is an easy A. Avoid her if you can
